user_id,age,occupations,location,risk_profile,marital,consumption_record,income_pattern,transaction_frequency,holding_pattern,survey_text,goal_type,investment_horizon
U001,35,金融业,一线,稳健型,married,"[{""category"":""food"",""amount"":2000},{""category"":""medical"",""amount"":5000}]","[12000,15000,16000]",0.75,"[""fixed_income"",""cash_equivalents""]",我希望五年后能买房,房产购置,5
U002,22,学生,三线,保守型,single,"[{""category"":""food"",""amount"":1500},{""category"":""entertainment"",""amount"":1000}]","[3000,3500,3200]",0.6,"[""cash_equivalents""]",计划 1 年后去旅行,旅行,1
U003,45,国家企事业单位,一线,稳健型,married,"[{""category"":""housing"",""amount"":8000},{""category"":""education"",""amount"":4000}]","[25000,26000,25500]",0.8,"[""fixed_income"",""equities""]",为孩子 10 年后的教育存钱,子女教育,10
U004,55,无业或其他（含退休）,四线,保守型,married,"[{""category"":""medical"",""amount"":6000},{""category"":""utility"",""amount"":1500}]","[8000,8500,8200]",0.5,"[""cash_equivalents"",""fixed_income""]",准备 20 年后退休养老,退休,20
U005,30,金融业,一线,进取型,single,"[{""category"":""investment"",""amount"":10000},{""category"":""shopping"",""amount"":3000}]","[30000,32000,31000]",0.9,"[""equities"",""alternative_assets""]",希望财富快速增长,财富增长,-1
U006,28,各类专业技术人员,二线,稳健型,married,"[{""category"":""housing"",""amount"":6000},{""category"":""transportation"",""amount"":1500}]","[20000,21000,20500]",0.7,"[""fixed_income"",""equities""]",5 年后换一套大一点的房子,房产购置,5
U007,20,学生,乡村,保守型,single,"[{""category"":""food"",""amount"":1200},{""category"":""entertainment"",""amount"":800}]","[2000,2200,2100]",0.55,"[""cash_equivalents""]",毕业 3 年后去国外旅行,旅行,3
U008,40,律师会计师顾问或中介,一线,进取型,married,"[{""category"":""investment"",""amount"":15000},{""category"":""insurance"",""amount"":2000}]","[35000,36000,35500]",0.85,"[""equities"",""alternative_assets""]",让资产在 10 年内翻倍,财富增长,10
U009,50,工商服务业,三线,稳健型,married,"[{""category"":""medical"",""amount"":4000},{""category"":""education"",""amount"":3000}]","[18000,19000,18500]",0.65,"[""fixed_income"",""cash_equivalents""]",为孙子 15 年后的教育准备,子女教育,15
U010,33,自由业主,二线,进取型,single,"[{""category"":""shopping"",""amount"":5000},{""category"":""investment"",""amount"":8000}]","[22000,24000,23000]",0.8,"[""equities"",""fixed_income""]",3 年后买房定居,房产购置,3
U011,25,办事人员和有关人员,四线,稳健型,single,"[{""category"":""food"",""amount"":1800},{""category"":""transportation"",""amount"":1200}]","[10000,11000,10500]",0.7,"[""cash_equivalents"",""fixed_income""]",计划 5 年后旅行放松,旅行,5
