product_id,产品名称,产品类型,预期收益率,波动率,风险等级,夏普比率,最大回撤,最小投资期限(年),流动性,资产类别
P001,安信稳健债券A,债券型,0.042,0.021,R1,1.52,-0.015,0,高,fixed_income
P002,华夏成长混合,混合型,0.085,0.153,R2,0.48,-0.253,0.25,中,equities
P003,易方达消费行业,股票型,0.123,0.227,R3,0.49,-0.358,0.5,低,cash_equivalents
P004,嘉实货币A,货币型,0.028,0.005,R4,4.6,-0.001,1,高,alternative_assets
P005,南方原油QDII,另类投资,0.151,0.352,R5,0.35,-0.482,2,中,fixed_income
P006,招商双债增强,商品型,0.051,0.038,R1,1.18,-0.032,3,低,equities
P007,富国天惠成长,指数型,0.102,0.185,R2,0.41,-0.287,5,高,cash_equivalents
P008,华安黄金ETF,QDII,0.078,0.163,R3,1.04,-0.224,0,中,alternative_assets
P009,博时信用债券,分级基金,0.063,0.052,R4,0.49,-0.068,0.25,低,fixed_income
P010,景顺长城新兴成长,债券型,0.145,0.269,R5,1.52,-0.015,0.5,高,equities
P011,广发稳健增长,混合型,0.042,0.021,R1,0.48,-0.253,1,中,cash_equivalents
P012,工银瑞信双利A,股票型,0.085,0.153,R2,0.49,-0.358,2,低,alternative_assets
P013,天弘余额宝,货币型,0.123,0.227,R3,4.6,-0.001,3,高,fixed_income
P014,华宝油气,另类投资,0.028,0.005,R4,0.35,-0.482,5,中,equities
P015,中欧医疗健康,商品型,0.151,0.352,R5,1.18,-0.032,0,低,cash_equivalents
P016,汇添富价值精选,指数型,0.051,0.038,R1,0.41,-0.287,0.25,高,alternative_assets
P017,银华富裕主题,QDII,0.102,0.185,R2,1.04,-0.224,0.5,中,fixed_income
P018,国泰CES半导体,分级基金,0.078,0.163,R3,0.49,-0.068,1,低,equities
P019,鹏华丰禄债券,债券型,0.063,0.052,R4,1.52,-0.015,2,高,cash_equivalents
P020,易方达蓝筹精选,混合型,0.145,0.269,R5,0.48,-0.253,3,中,alternative_assets
P021,兴全合润混合,股票型,0.042,0.021,R1,0.49,-0.358,5,低,fixed_income
P022,诺安成长混合,货币型,0.085,0.153,R2,4.6,-0.001,0,高,equities
P023,交银新成长,另类投资,0.123,0.227,R3,0.35,-0.482,0.25,中,cash_equivalents
P024,前海开源沪港深,商品型,0.028,0.005,R4,1.18,-0.032,0.5,低,alternative_assets
P025,嘉实新兴产业,指数型,0.151,0.352,R5,0.41,-0.287,1,高,fixed_income
P026,华泰柏瑞沪深300ETF,QDII,0.051,0.038,R1,1.04,-0.224,2,中,equities
P027,华夏上证50ETF,分级基金,0.102,0.185,R2,0.49,-0.068,3,低,cash_equivalents
P028,南方中证500ETF,债券型,0.078,0.163,R3,1.52,-0.015,5,高,alternative_assets
P029,易方达创业板ETF,混合型,0.063,0.052,R4,0.48,-0.253,0,中,fixed_income
P030,华安创业板50,股票型,0.145,0.269,R5,0.49,-0.358,0.25,低,equities
P031,国泰中证全指证券,货币型,0.042,0.021,R1,4.6,-0.001,0.5,高,cash_equivalents
P032,华宝中证医疗ETF,另类投资,0.085,0.153,R2,0.35,-0.482,1,中,alternative_assets
