user_id,age,occupations,location,risk_profile,marital,consumption_record,income_pattern,transaction_frequency,holding_pattern,Account Balance,drift years,investment_horizon,goal_type
U001,37,金融业,一线,稳健型,married,"[{""category"":""food"",""amount"":2200},{""category"":""medical"",""amount"":5300}]","[13200,16500,17600]",0.75,"[""fixed_income"",""cash_equivalents""]",55470,2,3,房产购置
U002,25,办事人员和有关人员,三线,稳健型,married,"[{""category"":""food"",""amount"":1725},{""category"":""entertainment"",""amount"":1150}]","[9000,9800,9500]",0.65,"[""fixed_income"",""cash_equivalents""]",8980,3,-1,旅行
U003,46,国家企事业单位,一线,稳健型,married,"[{""category"":""housing"",""amount"":8600},{""category"":""education"",""amount"":4300}]","[27500,28600,28050]",0.8,"[""fixed_income"",""equities""]",176880,1,9,子女教育
U004,57,无业或其他（含退休）,四线,保守型,widowed,"[{""category"":""medical"",""amount"":6700},{""category"":""utility"",""amount"":1600}]","[8400,8925,8610]",0.48,"[""cash_equivalents"",""fixed_income""]",68490,2,18,退休
U005,33,金融业,一线,进取型,married,"[{""category"":""investment"",""amount"":11200},{""category"":""shopping"",""amount"":3450}]","[34500,36800,35650]",0.95,"[""equities"",""alternative_assets""]",33480,3,-1,财富增长
U006,29,各类专业技术人员,二线,稳健型,married,"[{""category"":""housing"",""amount"":6450},{""category"":""transportation"",""amount"":1620}]","[22400,23940,23360]",0.7,"[""fixed_income"",""equities""]",47019,1,4,房产购置
U007,23,生产工作运输工作和部分体力劳动者,四线,保守型,single,"[{""category"":""food"",""amount"":1380},{""category"":""entertainment"",""amount"":920}]","[8500,9200,8800]",0.57,"[""cash_equivalents"",""fixed_income""]",7182,3,0,旅行
U008,42,律师会计师顾问或中介,一线,稳健型,married,"[{""category"":""investment"",""amount"":16800},{""category"":""insurance"",""amount"":2240}]","[39200,40320,39760]",0.82,"[""fixed_income"",""equities"",""alternative_assets""]",112860,2,8,财富增长
U009,51,工商服务业,三线,稳健型,married,"[{""category"":""medical"",""amount"":4360},{""category"":""education"",""amount"":3270}]","[19980,21090,20435]",0.63,"[""fixed_income"",""cash_equivalents""]",83160,1,14,子女教育
U010,35,自由业主,一线,进取型,married,"[{""category"":""shopping"",""amount"":5750},{""category"":""investment"",""amount"":9200}]","[25300,27600,26450]",0.83,"[""equities"",""fixed_income""]",36810,2,1,房产购置
U011,26,办事人员和有关人员,四线,稳健型,single,"[{""category"":""food"",""amount"":1935},{""category"":""transportation"",""amount"":1290}]","[11300,12410,11865]",0.7,"[""cash_equivalents"",""fixed_income""]",26565,1,4,旅行
